$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401060309187503;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;6550907870475452418;1690401060308617090;1690401060309184448;203b795dd534;132;2
$1;1690401063503254055;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452419;1690401063503238386;1690401063503239157;203b795dd534;12;5
$1;1690401063503312757;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452419;1690401063503306805;1690401063503307577;203b795dd534;13;5
$1;1690401063503324860;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452419;1690401063503198800;1690401063503321543;203b795dd534;11;4
$1;1690401063503350328;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452419;1690401063503164114;1690401063503347342;203b795dd534;10;3
$1;1690401063503368613;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;6550907870475452419;1690401063503099712;1690401063503365757;203b795dd534;9;2
$1;1690401066225752933;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452421;1690401066225734638;1690401066225735460;203b795dd534;18;5
$1;1690401066225812697;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452421;1690401066225804952;1690401066225806164;203b795dd534;19;5
$1;1690401066225826282;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452421;1690401066225691456;1690401066225822856;203b795dd534;17;4
$1;1690401066225855979;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452421;1690401066225649657;1690401066225852813;203b795dd534;16;3
$1;1690401066225881317;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;6550907870475452421;1690401066225559656;1690401066225878702;203b795dd534;15;2
$1;1690401068570713303;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570695579;1690401068570696451;203b795dd534;53;5
$1;1690401068570773717;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570767395;1690401068570768247;203b795dd534;54;5
$1;1690401068570797483;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452422;1690401068570644893;1690401068570793285;203b795dd534;52;4
$1;1690401068570825877;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452422;1690401068570596541;1690401068570822400;203b795dd534;51;3
$1;1690401068570874399;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570869509;1690401068570870181;203b795dd534;57;5
$1;1690401068570892062;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570887874;1690401068570888596;203b795dd534;58;5
$1;1690401068570903304;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452422;1690401068570853249;1690401068570899897;203b795dd534;56;4
$1;1690401068570917430;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452422;1690401068570835835;1690401068570911559;203b795dd534;55;3
$1;1690401068570961093;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570956304;1690401068570956915;203b795dd534;61;5
$1;1690401068570974128;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;6550907870475452422;1690401068570970441;1690401068570971052;203b795dd534;62;5
$1;1690401068570990289;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452422;1690401068570942218;1690401068570986993;203b795dd534;60;4
$1;1690401068571001420;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452422;1690401068570926067;1690401068570998224;203b795dd534;59;3
